IO Bank,Pin Number,IOB Alias,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,Pull Type
18,AE7,IOB_X2Y16,IO_L11N_CC_18,71.982,83.979,,,FP_LED7,OUT,,,LVCMOS33,12,SLOW,
18,AE8,IOB_X2Y17,IO_L11P_CC_18,66.798,77.931,,,FP_LED6,OUT,,,LVCMOS33,12,SLOW,
18,AF10,IOB_X2Y26,IO_L6N_18,75.786,88.417,,,FP_LED0,OUT,,,LVCMOS33,12,SLOW,
18,AF12,IOB_X2Y39,IO_L0P_18,76.512,89.264,,,MOD_TRIGGER_EN,OUT,,,LVCMOS33,12,SLOW,
,AF13,,,,,,,N_X_HV_OFF_CMD,OUT,,,,,,
17,AF14,IOB_X0Y4,IO_L17N_17,97.05,113.225,,,MOD_KLY_FIL_TD_TEST,OUT,,,LVCMOS33,12,SLOW,
17,AF15,IOB_X0Y5,IO_L17P_17,92.394,107.793,,,MOD_HV_RDY_TEST,OUT,,,LVCMOS33,12,SLOW,
,AF17,,,,,,,N_MOD_CTRL_PWR_FLT_MON,iN,,,,,,
,AF18,,,,,,,N_MOD_TTOC_MON,iN,,,,,,
,AF19,,,,,,,N_MOD_FAULT_MON,iN,,,,,,
,AF20,,,,,,,N_MOD_HV_ON_MON,iN,,,,,,
17,AF22,IOB_X0Y23,IO_L8P_CC_17,81.06,94.57,,,TRIGGER_IN0_p,IN,P,TRIGGER_IN0_n,LVDS_25,12,SLOW,
17,AF23,IOB_X0Y31,IO_L4P_17,94.272,109.984,,,TRIGGER_IN1_p,IN,P,TRIGGER_IN1_n,LVDS_25,12,SLOW,
17,AF24,IOB_X0Y32,IO_L3N_17,80.316,93.702,,,MOD_CTRL_PWR_FLT_TEST,OUT,,,LVCMOS33,12,SLOW,
17,AF25,IOB_X0Y33,IO_L3P_17,90.522,105.609,,,D31,INOUT,,,LVCMOS33,12,SLOW,
18,AF3,IOB_X2Y8,IO_L15N_18,93.12,108.64,,,RFATTN_SDOUT,OUT,,,LVCMOS33,12,SLOW,
18,AF4,IOB_X2Y9,IO_L15P_18,87.036,101.542,,,RFATTN_SDIN,in,,,LVCMOS33,12,SLOW,
,AF5,,,,,,,N_POT1_SW,in,,,,,,
18,AF7,IOB_X2Y23,IO_L8P_CC_18,79.824,93.128,,,FP_LED3,OUT,,,LVCMOS33,12,SLOW,
18,AF8,IOB_X2Y22,IO_L8N_CC_18,74.1,86.45,,,FP_LED2,OUT,,,LVCMOS33,12,SLOW,
18,AF9,IOB_X2Y27,IO_L6P_18,82.212,95.914,,,FP_LED1,OUT,,,LVCMOS33,12,SLOW,
15,B17,IOB_X0Y149,IO_L5P_15,82.098,95.781,,,FOCUS_SDIN,IN,,,LVCMOS33,12,SLOW,
15,B20,IOB_X0Y142,IO_L8N_CC_15,78.228,91.266,,,LEGACY_WG_VALVE_TEST,OUT,,,LVCMOS33,12,SLOW,
,B21,,,,,,,N_LEGACY_AVAIL_MON,iN,,,,,,
,B22,,,,,,,N_WG_VALVE_MON,in,,,,,,
15,B24,IOB_X0Y129,IO_L15P_15,78.792,91.924,,,SLED_M_TUNED_TEST,IN,,,LVCMOS33,12,SLOW,
15,B25,IOB_X0Y125,IO_L17P_15,82.956,96.782,,,SLED_U_DETUNED_TEST,IN,,,LVCMOS33,12,SLOW,
15,B26,IOB_X0Y123,IO_L18P_15,81.708,95.326,,,SLED_L_DETUNED_TEST,IN,,,LVCMOS33,12,SLOW,
,B4,,,,,,,N_SLOWADC_CS,OUT,,,,,,
,B5,,,,,,,N_SLOWADC_RD,OUT,,,,,,
,B6,,,,,,,N_SLOWADC_EOLC,in,,,,,,
16,B7,IOB_X2Y138,IO_L10N_CC_16,75.936,88.592,,,SLOWADC_DATA6,IN,,,LVCMOS33,12,SLOW,
,C17,,,,,,,N_FOCUS_SYNC,OUT,,,,,,
,C21,,,,,,,N_WG_TCGUAGE_MON,in,,,,,,
,C22,,,,,,,N_X_MOD_ON,OUT,,,,,,
,C23,,,,,,,N_PERMIT,OUT,,,,,,
15,C24,IOB_X0Y126,IO_L16N_15,72.606,84.707,,,SLED_M_DETUNED_TEST,IN,,,LVCMOS33,12,SLOW,
,C26,,,,,,,N_SLED_ENABLE,OUT,,,,,,
,C6,,,,,,,N_SLOWADC_EOC,in,,,,,,
16,C7,IOB_X2Y141,IO_L9P_CC_16,71.49,83.405,,,SLOWADC_DATA7,IN,,,LVCMOS33,12,SLOW,
16,C8,IOB_X2Y146,IO_L6N_16,66.408,77.476,,,SLOWADC_DATA11,IN,,,LVCMOS33,12,SLOW,
3,D15,IOB_X1Y139,IO_L0P_CC_GC_3,52.446,61.187,,,FWD_PWR_P,IN,P,FWD_PWR_N,DIFF_HSTL_II_DCI_18,,,
3,D16,IOB_X1Y137,IO_L1P_CC_GC_3,43.854,51.163,,,BEAM_V_P,IN,P,BEAM_V_N,DIFF_HSTL_II_DCI_18,,,
3,D18,IOB_X1Y132,IO_L3N_GC_3,50.466,58.877,,,BEAM_I_N,IN,N,BEAM_I_P,DIFF_HSTL_II_DCI_18,,,
15,D21,IOB_X0Y139,IO_L10P_CC_15,55.416,64.652,,,KLY_FLOW_TEST,OUT,,,LVCMOS33,12,SLOW,
15,D23,IOB_X0Y135,IO_L12P_VRN_15,58.92,68.74,,,WG2_FLOW_TEST,OUT,,,LVCMOS33,12,SLOW,
,D24,,,,,,,N_SLED_TUNE,OUT,,,,,,
,D25,,,,,,,N_SLED_DETUNE,OUT,,,,,,
,D26,,,,,,,N_SLED_MOTOR_TUNED,iN,,,,,,
16,D5,IOB_X2Y123,IO_L18P_16,64.02,74.69,,,SLOWADC_DATA0,IN,,,LVCMOS33,12,SLOW,
16,D6,IOB_X2Y144,IO_L7N_16,55.608,64.876,,,SLOWADC_DATA3,IN,,,LVCMOS33,12,SLOW,
3,E10,IOB_X1Y123,IO_L8P_GC_3,70.518,82.271,,,FADC_CLK_P,OUT,P,FADC_CLK_N,DIFF_HSTL_II_DCI_18,,,
3,E11,IOB_X1Y126,IO_L6N_GC_3,60.246,70.287,,,REFL_PWR_N,IN,N,REFL_PWR_P,DIFF_HSTL_II_DCI_18,12,SLOW,
3,E15,IOB_X1Y138,IO_L0N_CC_GC_3,37.932,44.254,,,FWD_PWR_N,IN,N,FWD_PWR_P,DIFF_HSTL_II_DCI_18,,,
3,E16,IOB_X1Y136,IO_L1N_CC_GC_3,39.522,46.109,,,BEAM_V_N,IN,N,BEAM_V_P,DIFF_HSTL_II_DCI_18,,,
3,E17,IOB_X1Y133,IO_L3P_GC_3,43.314,50.533,,,BEAM_I_P,IN,P,BEAM_I_N,DIFF_HSTL_II_DCI_18,,,
3,E18,IOB_X1Y129,IO_L5P_GC_3,52.548,61.306,,,FADC_FRAME_CLK_P,IN,P,FADC_FRAME_CLK_N,DIFF_HSTL_II_DCI_18,,,
3,E20,IOB_X1Y125,IO_L7P_GC_3,60.294,70.343,,,FADC_DATA_CLK_P,IN,P,FADC_DATA_CLK_N,DIFF_HSTL_II_DCI_18,,,
3,E21,IOB_X1Y124,IO_L7N_GC_3,64.62,75.39,,,FADC_DATA_CLK_N,IN,N,FADC_DATA_CLK_P,DIFF_HSTL_II_DCI_18,,,
11,E22,IOB_X0Y110,IO_L4N_VREF_11,60.81,70.945,,,WG1_FLOW_TEST,OUT,,,LVCMOS33,12,SLOW,
11,E23,IOB_X0Y111,IO_L4P_11,66.042,77.049,,,ACC1_FLOW_TEST,OUT,,,LVCMOS33,12,SLOW,
,E25,,,,,,,N_SLED_MOTOR_DETUNED,iN,,,,,,
,E26,,,,,,,N_SLED_LOWER_TUNED,in,,,,,,
16,E5,IOB_X2Y122,IO_L18N_16,60.852,70.994,,,SLOWADC_DATA1,IN,,,LVCMOS33,12,SLOW,
16,E6,IOB_X2Y145,IO_L7P_16,52.476,61.222,,,SLOWADC_DATA4,IN,,,LVCMOS33,12,SLOW,
16,E7,IOB_X2Y148,IO_L5N_16,42.9,50.05,,,SLOWADC_DATA8,IN,,,LVCMOS33,12,SLOW,
3,F10,IOB_X1Y122,IO_L8N_GC_3,65.382,76.279,,,FADC_CLK_N,OUT,N,FADC_CLK_P,DIFF_HSTL_II_DCI_18,,,
3,F12,IOB_X1Y127,IO_L6P_GC_3,52.656,61.432,,,REFL_PWR_P,IN,P,REFL_PWR_N,DIFF_HSTL_II_DCI_18,12,SLOW,
1,F13,IOB_X1Y109,IO_L5P_A9_D25_1,43.428,50.666,,,A9,OUT,,,LVCMOS33,12,SLOW,
1,F14,IOB_X1Y112,IO_L3N_A12_D28_1,42.33,49.385,,,A12,OUT,,,LVCMOS33,12,SLOW,
1,F15,IOB_X1Y113,IO_L3P_A13_D29_1,49.794,58.093,,,A13,OUT,,,LVCMOS33,12,SLOW,
1,F17,IOB_X1Y114,IO_L2N_A14_D30_1,44.382,51.779,,,A14,OUT,,,LVCMOS33,12,SLOW,
1,F18,IOB_X1Y111,IO_L4P_A11_D27_1,61.908,72.226,,,A11,OUT,,,LVCMOS33,12,SLOW,
3,F19,IOB_X1Y128,IO_L5N_GC_3,50.376,58.772,,,FADC_FRAME_CLK_N,IN,N,FADC_FRAME_CLK_P,DIFF_HSTL_II_DCI_18,,,
11,F24,IOB_X0Y113,IO_L3P_11,63.402,73.969,,,ACC2_FLOW_TEST,OUT,,,LVCMOS33,12,SLOW,
,F25,,,,,,,N_SLED_LOWER_DETUNED,in,,,,,,
12,F5,IOB_X2Y112,IO_L3N_12,57.054,66.563,,,SLOWADC_DATA2,IN,,,LVCMOS33,12,SLOW,
16,F7,IOB_X2Y157,IO_L1P_16,35.388,41.286,,,SLOWADC_DATA9,IN,,,LVCMOS33,12,SLOW,
1,G10,IOB_X1Y101,IO_L9P_CC_A1_D17_1,52.134,60.823,,,A1,OUT,,,LVCMOS33,12,SLOW,
1,G11,IOB_X1Y105,IO_L7P_A5_D21_1,47.226,55.097,,,A5,OUT,,,LVCMOS33,12,SLOW,
1,G12,IOB_X1Y108,IO_L5N_A8_D24_1,37.65,43.925,,,A8,OUT,,,LVCMOS33,12,SLOW,
1,G14,IOB_X1Y116,IO_L1N_A16_1,33.978,39.641,,,A16,OUT,,,LVCMOS33,12,SLOW,
1,G15,IOB_X1Y119,IO_L0P_A19_1,38.562,44.989,,,A19,OUT,,,LVCMOS33,12,SLOW,
1,G16,IOB_X1Y118,IO_L0N_A18_1,37.212,43.414,,,A18,OUT,,,LVCMOS33,12,SLOW,
1,G17,IOB_X1Y115,IO_L2P_A15_D31_1,36.924,43.078,,,A15,OUT,,,LVCMOS33,12,SLOW,
1,G19,IOB_X1Y110,IO_L4N_VREF_A10_D26_1,51.882,60.529,,,A10,OUT,,,LVCMOS33,12,SLOW,
1,G20,IOB_X1Y103,IO_L8P_CC_A3_D19_1,50.892,59.374,,,A3,OUT,,,LVCMOS33,12,SLOW,
,G22,,,,,,,N_KLY_FLOW_MON,iN,,,,,,
,G24,,,,,,,N_WG2_FLOW_MON,in,,,,,,
,G25,,,,,,,N_SLED_UPPER_TUNED,iN,,,,,,
,G26,,,,,,,N_SLED_UPPER_DETUNED,iN,,,,,,
12,G4,IOB_X2Y109,IO_L5P_12,60.576,70.672,,,MONADC_CLK,OUT,,,LVCMOS33,12,SLOW,
,G5,,,,,,,N_MONADC_CS,OUT,,,,,,
,G6,,,,,,,N_MONADC_WR,OUT,,,,,,
,G7,,,,,,,N_MONADC_EOLC,in,,,,,,
16,G9,IOB_X2Y154,IO_L2N_16,31.674,36.953,,,TX_DISABLE0,OUT,,,LVCMOS33,12,SLOW,
1,H11,IOB_X1Y104,IO_L7N_A4_D20_1,40.608,47.376,,,A4,OUT,,,LVCMOS33,12,SLOW,
,H12,,,,,,,N_INIT,,,,,,,
1,H13,IOB_X1Y117,IO_L1P_A17_1,34.344,40.068,,,A17,OUT,,,LVCMOS33,12,SLOW,
1,H18,IOB_X1Y107,IO_L6P_A7_D23_1,40.548,47.306,,,A7,OUT,,,LVCMOS33,12,SLOW,
1,H19,IOB_X1Y106,IO_L6N_A6_D22_1,49.668,57.946,,,A6,OUT,,,LVCMOS33,12,SLOW,
1,H21,IOB_X1Y102,IO_L8N_CC_A2_D18_1,58.992,68.824,,,A2,OUT,,,LVCMOS33,12,SLOW,
,H22,,,,,,,N_WG1_FLOW_MON,in,,,,,,
11,H24,IOB_X0Y95,IO_L12P_VRN_11,54.342,63.399,,,TEMP_ADC_CLK,OUT,,,LVCMOS33,12,SLOW,
11,H26,IOB_X0Y115,IO_L2P_11,90.072,105.084,,,TEMP_SCLK,OUT,,,LVCMOS33,12,SLOW,
12,H4,IOB_X2Y108,IO_L5N_12,60.654,70.763,,,MONADC_CONVST,OUT,,,LVCMOS33,12,SLOW,
,H6,,,,,,,N_MONADC_RD,OUT,,,,,,
,H7,,,,,,,N_MONADC_EOC,in,,,,,,
16,H8,IOB_X2Y153,IO_L3P_16,26.58,31.01,,,SDA0,INOUT,,,LVCMOS33,12,SLOW,
1,H9,IOB_X1Y100,IO_L9N_CC_A0_D16_1,53.634,62.573,,,A0,OUT,,,LVCMOS33,12,SLOW,
,J20,,,,,,,N_RST,OUT,,,,,,
,J21,,,,,,,N_ACC2_FLOW_MON,in,,,,,,
,J23,,,,,,,N_ACC1_FLOW_MON,in,,,,,,
11,J24,IOB_X0Y94,IO_L12N_VRP_11,50.88,59.36,,,TEMP_DIN,IN,,,LVCMOS33,12,SLOW,
11,J25,IOB_X0Y93,IO_L13P_11,58.08,67.76,,,TEMP_DOUT/RDY,IN,,,LVCMOS33,12,SLOW,
,J26,,,,,,,N_TEMP_OUT_CS,OUT,,,,,,
12,J5,IOB_X2Y105,IO_L7P_12,47.64,55.58,,,RX_LOS0,IN,,,LVCMOS33,12,SLOW,
12,J6,IOB_X2Y104,IO_L7N_12,38.172,44.534,,,TX_FAULT0,IN,,,LVCMOS33,12,SLOW,
16,J8,IOB_X2Y152,IO_L3N_16,21.198,24.731,,,SCL0,OUT,,,LVCMOS33,12,SLOW,
11,K21,IOB_X0Y102,IO_L8N_CC_11,38.718,45.171,,,WG_VAC_OK_TEST,OUT,,,LVCMOS33,12,SLOW,
11,K22,IOB_X0Y101,IO_L9P_CC_11,34.284,39.998,,,WG_VAC_BAD_TEST,OUT,,,LVCMOS33,12,SLOW,
,K26,,,,,,,N_TEMP_IN_CS,OUT,,,,,,
12,K5,IOB_X2Y101,IO_L9P_CC_12,43.962,51.289,,,RX_LOS1,IN,,,LVCMOS33,12,SLOW,
12,K6,IOB_X2Y99,IO_L10P_CC_12,32.928,38.416,,,TX_FAULT1,IN,,,LVCMOS33,12,SLOW,
12,K7,IOB_X2Y98,IO_L10N_CC_12,34.248,39.956,,,TX_DISABLE1,OUT,,,LVCMOS33,12,SLOW,
,K8,,,,,,,N_MOD_PRES0,iN,,,,,,
,L23,,,,,,,N_WGVAC_BAD_MON,in,,,,,,
,L24,,,,,,,N_ION_PUMP_MON,in,,,,,,
11,L25,IOB_X0Y90,IO_L14N_VREF_11,48.99,57.155,,,ION_TEST,OUT,,,LVCMOS33,12,SLOW,
