IO Bank,Pin Number,IOB Alias,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,Pull Type
3,E15,IOB_X1Y138,IO_L0N_CC_GC_3,37.932,44.254,,,FWD_PWR_N,IN,N,FWD_PWR_P,DIFF_HSTL_II_DCI_18,,,
3,D15,IOB_X1Y139,IO_L0P_CC_GC_3,52.446,61.187,,,FWD_PWR_P,IN,P,FWD_PWR_N,DIFF_HSTL_II_DCI_18,,,
11,L25,IOB_X0Y90,IO_L14N_VREF_11,48.99,57.155,,,ION_TEST,OUT,,,LVCMOS33,12,SLOW,
15,D21,IOB_X0Y139,IO_L10P_CC_15,55.416,64.652,,,KLY_FLOW_TEST,OUT,,,LVCMOS33,12,SLOW,
15,A23,IOB_X0Y131,IO_L14P_15,78.192,91.224,,,LEGACY_MODAVAIL_TEST,OUT,,,LVCMOS33,12,SLOW,
15,B20,IOB_X0Y142,IO_L8N_CC_15,78.228,91.266,,,LEGACY_WG_VALVE_TEST,OUT,,,LVCMOS33,12,SLOW,
15,A22,IOB_X0Y132,IO_L13N_15,83.112,96.964,,,LEGACY_WGTC_GAUGE_TEST,OUT,,,LVCMOS33,12,SLOW,
13,Y22,IOB_X0Y58,IO_L10N_CC_13,54.078,63.091,,,MAG_I_INTLK_TEST,OUT,,,LVCMOS33,12,SLOW,
13,W21,IOB_X0Y40,IO_L19N_13,43.02,50.19,,,MAG_I_OK_TEST,OUT,,,LVCMOS33,12,SLOW,
13,V21,IOB_X0Y41,IO_L19P_13,38.634,45.073,,,MAG_KLIXON_TEST,OUT,,,LVCMOS33,12,SLOW,
13,P26,IOB_X0Y79,IO_L0P_SM8P_13,53.562,62.489,,,MEM_CLK,OUT,,,LVCMOS33,12,SLOW,
,AB3,IPAD_X1Y4,MGTREFCLKN_118,62.07,72.415,,,MGTCLK1_n,IN,,,LVCMOS33,12,SLOW,
,AB4,IPAD_X1Y5,MGTREFCLKP_118,59.598,69.531,,,MGTCLK1_p,IN,,,LVCMOS33,12,SLOW,
17,AE15,IOB_X0Y6,IO_L16N_17,77.496,90.412,,,MOD_AVAIL_TEST,OUT,,,LVCMOS33,12,SLOW,
17,AF24,IOB_X0Y32,IO_L3N_17,80.316,93.702,,,MOD_CTRL_PWR_FLT_TEST,OUT,,,LVCMOS33,12,SLOW,
4,AC16,IOB_X1Y20,IO_L9N_CC_GC_4,53.178,62.041,,,MOD_EOLC_TEST,OUT,,,LVCMOS33,12,SLOW,
17,AE16,IOB_X0Y9,IO_L15P_17,86.526,100.947,,,MOD_EXT_INTLK_TEST,OUT,,,LVCMOS33,12,SLOW,
17,AC22,IOB_X0Y25,IO_L7P_17,59.886,69.867,,,MOD_FAULT_TEST,OUT,,,LVCMOS33,12,SLOW,
4,AB17,IOB_X1Y26,IO_L6N_GC_4,45.864,53.508,,,MOD_HV_ON_TEST,OUT,,,LVCMOS33,12,SLOW,
17,AF15,IOB_X0Y5,IO_L17P_17,92.394,107.793,,,MOD_HV_RDY_TEST,OUT,,,LVCMOS33,12,SLOW,
17,AD16,IOB_X0Y8,IO_L15N_17,81.39,94.955,,,MOD_HVOC_TEST,OUT,,,LVCMOS33,12,SLOW,
17,AD15,IOB_X0Y7,IO_L16P_17,77.496,90.412,,,MOD_INTLK_COMP_TEST,OUT,,,LVCMOS33,12,SLOW,
17,AF14,IOB_X0Y4,IO_L17N_17,97.05,113.225,,,MOD_KLY_FIL_TD_TEST,OUT,,,LVCMOS33,12,SLOW,
18,AE12,IOB_X2Y38,IO_L0N_18,71.94,83.93,,,MOD_TRIGGER,OUT,,,LVCMOS33,12,SLOW,
18,AF12,IOB_X2Y39,IO_L0P_18,76.512,89.264,,,MOD_TRIGGER_EN,OUT,,,LVCMOS33,12,SLOW,
4,AB16,IOB_X1Y22,IO_L8N_CC_GC_4,43.974,51.303,,,MOD_TTOC_TEST,OUT,,,LVCMOS33,12,SLOW,
17,AD14,IOB_X0Y0,IO_L19N_17,89.208,104.076,,,MOD_VVS_PWR_TEST,OUT,,,LVCMOS33,12,SLOW,
12,G4,IOB_X2Y109,IO_L5P_12,60.576,70.672,,,MONADC_CLK,OUT,,,LVCMOS33,12,SLOW,
12,H4,IOB_X2Y108,IO_L5N_12,60.654,70.763,,,MONADC_CONVST,OUT,,,LVCMOS33,12,SLOW,
11,J23,IOB_X0Y104,IO_L7N_11,36.924,43.078,,,N_ACC1_FLOW_MON,IN,,,LVCMOS33,12,SLOW,
11,J21,IOB_X0Y103,IO_L8P_CC_11,43.098,50.281,,,N_ACC2_FLOW_MON,IN,,,LVCMOS33,12,SLOW,
12,W5,IOB_X2Y111,IO_L4P_12,82.326,96.047,,,N_BRD_RST,IN,,,LVCMOS33,12,SLOW,
15,A18,IOB_X0Y147,IO_L6P_15,93.252,108.794,,,N_FADC_CS,OUT,,,LVCMOS33,12,SLOW,
2,Y12,IOB_X1Y51,IO_L4P_FCS_B_2,39.534,46.123,,,N_FCS,OUT,,,LVCMOS33,12,SLOW,
15,C17,IOB_X0Y150,IO_L4N_VREF_15,88.242,102.949,,,N_FOCUS_SYNC,OUT,,,LVCMOS33,12,SLOW,
2,AA12,IOB_X1Y50,IO_L4N_VREF_FOE_B_MOSI_2,47.724,55.678,,,N_FOE,OUT,,,LVCMOS33,12,SLOW,
2,AA17,IOB_X1Y49,IO_L5P_FWE_B_2,46.938,54.761,,,N_FWE,OUT,,,LVCMOS33,12,SLOW,
,,,,,,,,N_INIT,UNKNOWN,,,LVCMOS33,12,SLOW,
11,L24,IOB_X0Y89,IO_L15P_SM13P_11,55.302,64.519,,,N_ION_PUMP_MON,IN,,,LVCMOS33,12,SLOW,
11,G22,IOB_X0Y107,IO_L6P_11,54.72,63.84,,,N_KLY_FLOW_MON,IN,,,LVCMOS33,12,SLOW,
15,B21,IOB_X0Y137,IO_L11P_CC_15,78.594,91.693,,,N_LEGACY_AVAIL_MON,IN,,,LVCMOS33,12,SLOW,
13,W24,IOB_X0Y61,IO_L9P_CC_SM0P_13,56.85,66.325,,,N_MAG_I_INTLK_MON,IN,,,LVCMOS33,12,SLOW,
13,W23,IOB_X0Y56,IO_L11N_CC_13,55.77,65.065,,,N_MAG_I_OK_MON,IN,,,LVCMOS33,12,SLOW,
13,Y23,IOB_X0Y57,IO_L11P_CC_13,58.578,68.341,,,N_MAG_KLIXON_MON,IN,,,LVCMOS33,12,SLOW,
13,AA22,IOB_X0Y59,IO_L10P_CC_13,57.6,67.2,,,N_MAG_PS_ON,OUT,,,LVCMOS33,12,SLOW,
11,N24,IOB_X0Y83,IO_L18P_SM10P_11,32.256,37.632,,,N_MEM_ADSC,OUT,,,LVCMOS33,12,SLOW,
13,P25,IOB_X0Y77,IO_L1P_SM7P_13,43.884,51.198,,,N_MEM_BW[1],OUT,,,LVCMOS33,12,SLOW,
13,R26,IOB_X0Y78,IO_L0N_SM8N_13,58.788,68.586,,,N_MEM_BW[2],OUT,,,LVCMOS33,12,SLOW,
13,R25,IOB_X0Y76,IO_L1N_SM7N_13,46.908,54.726,,,N_MEM_BW[3],OUT,,,LVCMOS33,12,SLOW,
13,T25,IOB_X0Y68,IO_L5N_SM4N_13,46.656,54.432,,,N_MEM_BW[4],OUT,,,LVCMOS33,12,SLOW,
11,M25,IOB_X0Y85,IO_L17P_SM11P_11,55.86,65.17,,,N_MEM_BWE,OUT,,,LVCMOS33,12,SLOW,
11,N26,IOB_X0Y87,IO_L16P_SM12P_11,47.94,55.93,,,N_MEM_GW,OUT,,,LVCMOS33,12,SLOW,
11,M26,IOB_X0Y86,IO_L16N_SM12N_11,53.85,62.825,,,N_MEM_OE,OUT,,,LVCMOS33,12,SLOW,
17,AD18,IOB_X0Y12,IO_L13N_17,76.446,89.187,,,N_MOD_AVAIL_MON,IN,,,LVCMOS33,12,SLOW,
17,AF17,IOB_X0Y10,IO_L14N_VREF_17,75.24,87.78,,,N_MOD_CTRL_PWR_FLT_MON,IN,,,LVCMOS33,12,SLOW,
4,AB19,IOB_X1Y31,IO_L4P_GC_4,57.324,66.878,,,N_MOD_EOLC_MON,IN,,,LVCMOS33,12,SLOW,
17,AD19,IOB_X0Y19,IO_L10P_CC_17,58.83,68.635,,,N_MOD_EXT_INTLK_MON,IN,,,LVCMOS33,12,SLOW,
17,AF19,IOB_X0Y15,IO_L12P_VRN_17,64.968,75.796,,,N_MOD_FAULT_MON,IN,,,LVCMOS33,12,SLOW,
17,AF20,IOB_X0Y21,IO_L9P_CC_17,72.102,84.119,,,N_MOD_HV_ON_MON,IN,,,LVCMOS33,12,SLOW,
17,AE18,IOB_X0Y13,IO_L13P_17,81.768,95.396,,,N_MOD_HV_RDY_MON,IN,,,LVCMOS33,12,SLOW,
4,AC19,IOB_X1Y30,IO_L4N_GC_VREF_4,67.002,78.169,,,N_MOD_HVOC_MON,IN,,,LVCMOS33,12,SLOW,
4,AC18,IOB_X1Y27,IO_L6P_GC_4,52.542,61.299,,,N_MOD_INTLK_COMP_MON,IN,,,LVCMOS33,12,SLOW,
17,AE17,IOB_X0Y11,IO_L14P_17,66.75,77.875,,,N_MOD_KLY_FIL_TD_MON,IN,,,LVCMOS33,12,SLOW,
12,K8,IOB_X2Y95,IO_L12P_VRN_12,37.974,44.303,,,N_MOD_PRES0,IN,,,LVCMOS33,12,SLOW,
12,L8,IOB_X2Y90,IO_L14N_VREF_12,28.944,33.768,,,N_MOD_PRES1,IN,,,LVCMOS33,12,SLOW,
17,AF18,IOB_X0Y14,IO_L12N_VRP_17,70.29,82.005,,,N_MOD_TTOC_MON,IN,,,LVCMOS33,12,SLOW,
4,AC17,IOB_X1Y23,IO_L8P_CC_GC_4,51.486,60.067,,,N_MOD_VVS_PWR_MON,IN,,,LVCMOS33,12,SLOW,
12,M6,IOB_X2Y85,IO_L17P_12,62.334,72.723,,,N_MODID[0],IN,,,LVCMOS33,12,SLOW,
12,N6,IOB_X2Y86,IO_L16N_12,53.688,62.636,,,N_MODID[1],IN,,,LVCMOS33,12,SLOW,
12,P6,IOB_X2Y87,IO_L16P_12,41.154,48.013,,,N_MODID[2],IN,,,LVCMOS33,12,SLOW,
12,R5,IOB_X2Y92,IO_L13N_12,65.532,76.454,,,N_MODID[3],IN,,,LVCMOS33,12,SLOW,
12,R6,IOB_X2Y89,IO_L15P_12,51.486,60.067,,,N_MODID[4],IN,,,LVCMOS33,12,SLOW,
12,T5,IOB_X2Y93,IO_L13P_12,60.942,71.099,,,N_MODID[5],IN,,,LVCMOS33,12,SLOW,
12,V6,IOB_X2Y107,IO_L6P_12,69.072,80.584,,,N_MODID[6],IN,,,LVCMOS33,12,SLOW,
12,W4,IOB_X2Y114,IO_L2N_12,89.142,103.999,,,N_MODID[7],IN,,,LVCMOS33,12,SLOW,
12,G5,IOB_X2Y113,IO_L3P_12,58.8,68.6,,,N_MONADC_CS,OUT,,,LVCMOS33,12,SLOW,
16,H7,IOB_X2Y159,IO_L0P_16,32.07,37.415,,,N_MONADC_EOC,IN,,,LVCMOS33,12,SLOW,
16,G7,IOB_X2Y158,IO_L0N_16,32.1,37.45,,,N_MONADC_EOLC,IN,,,LVCMOS33,12,SLOW,
12,H6,IOB_X2Y116,IO_L1N_12,45.216,52.752,,,N_MONADC_RD,OUT,,,LVCMOS33,12,SLOW,
12,G6,IOB_X2Y117,IO_L1P_12,48.36,56.42,,,N_MONADC_WR,OUT,,,LVCMOS33,12,SLOW,
15,C23,IOB_X0Y128,IO_L15N_15,71.034,82.873,,,N_PERMIT,OUT,,,LVCMOS33,12,SLOW,
18,AF5,IOB_X2Y12,IO_L13N_18,82.596,96.362,,,N_POT1_SW,IN,,,LVCMOS33,12,SLOW,
18,AB6,IOB_X2Y19,IO_L10P_CC_18,46.926,54.747,,,N_POT2_SW,IN,,,LVCMOS33,12,SLOW,
18,AC6,IOB_X2Y15,IO_L12P_VRN_18,61.476,71.722,,,N_RFATTN_SYNC,IN,,,LVCMOS33,12,SLOW,
,,,,,,,,N_RST,OUT,,,LVCMOS33,12,SLOW,
15,D25,IOB_X0Y120,IO_L19N_15,79.806,93.107,,,N_SLED_DETUNE,OUT,,,LVCMOS33,12,SLOW,
15,C26,IOB_X0Y122,IO_L18N_15,80.544,93.968,,,N_SLED_ENABLE,OUT,,,LVCMOS33,12,SLOW,
11,F25,IOB_X0Y117,IO_L1P_11,70.674,82.453,,,N_SLED_LOWER_DETUNED,IN,,,LVCMOS33,12,SLOW,
11,E26,IOB_X0Y119,IO_L0P_11,82.056,95.732,,,N_SLED_LOWER_TUNED,IN,,,LVCMOS33,12,SLOW,
11,E25,IOB_X0Y118,IO_L0N_11,73.746,86.037,,,N_SLED_MOTOR_DETUNED,IN,,,LVCMOS33,12,SLOW,
15,D26,IOB_X0Y121,IO_L19P_15,81.594,95.193,,,N_SLED_MOTOR_TUNED,IN,,,LVCMOS33,12,SLOW,
15,D24,IOB_X0Y127,IO_L16P_15,62.796,73.262,,,N_SLED_TUNE,OUT,,,LVCMOS33,12,SLOW,
